SIZE,toupper_rawloop,toupper_rawloop_algo,toupper_transform,toupper_branch
10000,2.060139,7.12926,7.089306,8.34952
10000,2.05869,7.185508,7.097017,8.242078
10000,1.682395,7.108868,7.094597,8.197829
10000,1.577454,7.0926,7.091674,8.23544
10000,1.577404,7.098715,7.0939,8.215701
10000,1.581497,7.211313,7.093463,8.162846
10000,1.584643,7.327507,7.095751,8.194386
10000,2.054195,7.461199,7.089716,8.163496
10000,1.7652,7.222766,7.093003,8.138749
10000,1.57742,7.116273,7.092909,8.118256
20000,2.085847,7.214758,7.121412,9.320254
20000,2.086599,7.247995,7.143864,9.318954
20000,1.936827,7.41702,7.161527,9.205416
20000,2.085578,7.13382,7.118748,9.206236
20000,1.953411,7.12095,7.118989,9.219072
20000,1.617846,7.118966,7.112741,9.172589
20000,1.729979,7.119796,7.165566,8.931816
20000,1.912204,7.117553,7.114315,9.140104
20000,1.908702,7.119546,7.176317,9.191052
20000,2.08855,7.115917,7.158836,9.284268
30000,2.09362,7.341905,7.124158,9.734909
30000,1.873623,7.169509,7.120209,9.708147
30000,2.006834,7.125946,7.122845,9.688402
30000,1.630418,7.148586,7.121986,9.668142
30000,1.665446,7.159645,7.122006,9.676339
30000,1.64006,7.12193,7.417347,9.544754
30000,1.629876,7.143393,7.123125,9.687879
30000,1.938255,7.124482,7.121004,9.624404
30000,2.093967,7.14215,7.121105,9.624576
30000,1.630429,7.121949,7.125974,9.291897
40000,1.646087,7.235537,7.129873,9.897464
40000,1.628338,7.12563,7.133554,9.901372
40000,1.625892,7.381678,7.12769,9.880202
40000,1.640961,7.120638,7.121639,9.79055
40000,1.764748,7.123793,7.123233,9.498775
40000,2.094942,7.155621,7.119807,9.635519
40000,1.671796,7.131434,7.120944,9.860072
40000,1.628422,7.120982,7.153722,9.512576
40000,2.070074,7.124581,7.123984,9.648397
40000,1.749381,7.146201,7.12302,10.005951
50000,1.626579,7.128715,7.123084,10.032674
50000,1.912498,7.122565,7.119182,9.986974
50000,1.630145,7.127589,7.119752,9.994087
50000,1.64661,7.12368,7.154194,9.974969
50000,1.625309,7.119499,7.155049,9.97595
50000,1.626062,7.120223,7.12072,9.926743
50000,1.66003,7.118885,7.121947,9.599061
50000,1.681875,7.128663,7.120407,9.601733
50000,1.722316,7.120811,7.124162,9.594705
50000,1.703682,7.153968,7.131263,9.590573
60000,1.62764,7.125036,7.118769,9.623368
60000,1.625315,7.119748,7.134865,9.815048
60000,1.655488,7.122252,7.126267,9.820158
60000,1.625815,7.11934,7.125976,9.609947
60000,1.812522,7.118132,7.121288,9.880879
60000,1.89112,7.118912,7.119213,9.730607
60000,1.776989,7.119135,7.118698,9.993208
60000,1.700935,7.118501,7.119329,10.045354
60000,1.641179,7.120334,7.118789,9.843567
60000,1.635129,7.121823,7.118716,9.971915
70000,1.678237,7.130016,7.119737,10.05895
70000,1.624915,7.118622,7.117137,10.050791
70000,1.789467,7.117146,7.117629,9.756635
70000,1.641385,7.144205,7.117067,9.888595
70000,1.623042,7.145635,7.117066,9.989924
70000,1.697862,7.120834,7.116414,10.008477
70000,1.84523,7.118558,7.117554,9.902175
70000,1.681555,7.124707,7.120128,9.955795
70000,1.621946,7.117768,7.124762,9.997195
70000,1.622149,7.117801,7.120391,9.972771
80000,1.929164,7.119799,7.119635,10.0449
80000,2.041359,7.117242,7.116558,9.717165
80000,1.785415,7.116283,7.120561,9.76979
80000,1.699132,7.116188,7.127012,9.775698
80000,1.74247,7.118529,7.213026,9.725673
80000,1.665488,7.279787,7.116226,9.646863
80000,1.624934,7.115939,7.139707,9.668166
80000,1.624349,7.115688,7.139233,9.755068
80000,1.620211,7.116828,7.117713,9.844892
80000,2.014725,7.119525,7.118726,9.74277
90000,1.895486,7.118717,7.117588,9.994309
90000,1.895239,7.118744,7.116814,9.845443
90000,1.941363,7.131389,7.12088,9.711574
90000,1.836759,7.126849,7.116814,10.165797
90000,1.706277,7.117774,7.119039,9.963912
90000,1.81237,7.116831,7.117188,10.208271
90000,1.860527,7.141113,7.300847,10.182495
