SIZE,toupper_rawloop,toupper_rawloop_algo,toupper_transform,toupper_branch,toupper_lookup
10000,1.823551,10.336165,10.332265,10.431169,2.320705
10000,1.776597,10.332316,10.328434,10.294085,2.326812
10000,1.776498,10.321948,10.322417,10.232218,2.320392
10000,1.776319,10.421072,10.328335,10.225569,2.320408
10000,1.776457,10.329079,10.328581,10.166367,2.320335
10000,1.776383,10.327754,10.328204,10.207084,2.320447
10000,1.776402,10.327997,10.342054,10.232406,2.320517
10000,1.789975,10.322315,10.328852,10.246847,2.326563
10000,1.776431,10.327716,10.32242,10.237532,2.320447
10000,1.776466,10.32755,10.328543,10.216302,2.320444
20000,2.372971,10.422271,10.362222,11.285589,2.35972
20000,2.345818,10.367003,10.364121,11.198393,2.355549
20000,2.322756,10.363968,10.363203,11.073779,2.35505
20000,2.365748,10.363631,10.361765,11.022416,2.358515
20000,2.2108,10.362817,10.365098,10.98561,2.355994
20000,2.366448,10.359823,10.361663,10.950475,2.359472
20000,2.36619,10.364191,10.365519,11.046368,2.356922
20000,2.207338,10.359797,10.365077,10.935104,2.356405
20000,2.367455,10.362617,10.362214,10.794075,2.359555
20000,2.367329,10.36215,10.364912,10.919029,2.356476
30000,1.875553,10.384507,10.385051,11.638329,2.378921
30000,2.115731,10.383911,10.38158,11.587007,2.380977
30000,2.226639,10.382644,10.381581,11.556954,2.378932
30000,2.385488,10.381667,10.384012,11.644778,2.381083
30000,2.221229,10.38307,10.383045,11.602655,2.380901
30000,2.385566,10.381012,10.383892,11.596701,2.379087
30000,2.220944,10.383046,10.396587,11.54153,2.380913
30000,2.369695,10.381108,10.38261,11.589291,2.37889
30000,2.348532,10.38346,10.380451,11.541015,2.380772
30000,2.241759,10.381109,10.381097,11.587753,2.378718
40000,2.244981,10.384817,10.385497,11.756715,2.382377
40000,2.387412,10.385221,10.385415,11.5601,2.382307
40000,2.243023,10.383987,10.385528,11.449392,2.382439
40000,2.225687,10.383621,10.384794,11.551934,2.381036
40000,2.388601,10.383629,10.383527,11.628074,2.382202
40000,2.292066,10.385075,10.383658,11.5542,2.382204
40000,2.229406,10.383838,10.38458,11.437449,2.382296
40000,2.315438,10.383794,10.386636,11.463114,2.381009
40000,2.285511,10.383812,10.38364,11.635039,2.382215
40000,2.238689,10.384757,10.383395,11.483593,2.38225
50000,2.055369,10.381292,10.380528,11.91969,2.377979
50000,2.190451,10.380404,10.382147,11.958038,2.379806
50000,2.217788,10.380044,10.38023,11.923374,2.379071
50000,2.255723,10.379925,10.380391,11.838592,2.379102
50000,2.331176,10.380078,10.380438,11.737078,2.379093
50000,2.342269,10.380043,10.380747,11.846927,2.379117
50000,2.286191,10.382777,10.380279,11.786759,2.379061
50000,2.199896,10.381221,10.38044,11.644233,2.37905
50000,2.215598,10.38873,10.380177,11.561869,2.379046
50000,2.215315,10.379919,10.380381,11.558383,2.379222
