SIZE,toupper_rawloop,toupper_rawloop_algo,toupper_transform,toupper_branch
100,3.22582,7.82522,7.56314,3.51806
100,2.04438,7.51114,7.50646,3.27704
100,2.05322,9.46894,7.50282,3.27002
100,2.03008,7.47214,7.48306,3.26144
100,2.02878,7.47318,7.47994,3.25858
100,2.02072,7.47448,7.47812,3.25312
100,2.02566,9.46582,7.47812,3.25286
100,2.0345,9.46764,7.48488,3.25884
100,2.02826,9.46868,7.48176,3.24974
100,2.02592,9.46868,7.48254,3.25832
200,2.04477,7.41039,7.33005,3.35309
200,1.80453,7.27064,7.27831,3.12013
200,1.80115,7.27493,7.26856,3.10557
200,1.79738,7.27597,7.26934,3.10752
200,1.79296,7.26739,7.27103,3.10739
200,1.79881,7.26232,7.26843,3.10557
200,1.7927,7.26466,7.26752,3.10414
200,1.79725,7.26778,7.26973,3.10622
200,1.79283,7.28156,7.27077,3.10778
200,1.8031,7.26674,7.26856,3.10674
300,1.89124,7.29612,7.223667,3.267767
300,2.20506,7.2085,7.203213,3.092093
300,2.205407,7.19992,7.19576,3.084553
300,2.20532,7.20304,7.217947,3.085333
300,2.206273,7.205813,7.211447,3.08646
300,2.207487,7.20564,7.193767,3.08308
300,2.203933,7.20876,7.200873,3.08282
300,2.20558,7.200007,7.2332,3.08256
300,2.204973,7.2267,7.225487,3.091747
300,2.206013,7.219853,7.20876,3.082213
400,2.304575,7.236515,7.17925,3.428815
400,2.15592,7.15273,7.162025,3.18344
400,2.158715,7.152665,7.170865,3.187665
400,2.157805,7.15013,7.17067,3.17954
400,2.15774,7.15663,7.151755,3.18149
400,2.15787,7.155655,7.15299,3.17967
400,2.157805,7.15559,7.14961,3.180515
400,2.157805,7.156695,7.162155,3.178955
400,2.15761,7.155005,7.14974,3.179995
400,2.15761,7.156825,7.1617,3.17941
500,2.24822,7.212088,7.168096,3.6088
500,2.131688,7.140848,7.132476,3.44448
500,2.128672,7.139964,7.138352,3.437876
500,2.127268,7.139912,7.129824,3.4385
500,2.12654,7.135128,7.153172,3.427164
500,2.125916,7.135024,7.144488,3.429192
500,2.376972,7.13596,7.134972,3.54432
500,1.637584,7.134972,7.148752,3.900104
500,1.637064,7.134712,7.139756,4.1145
500,1.636752,7.135804,7.146204,3.879512
600,2.216803,7.17977,7.133923,3.483393
600,2.113713,7.1188,7.123697,3.304167
600,2.11211,7.119103,7.14285,3.298837
600,2.11224,9.40641,7.14285,3.30655
600,2.112327,9.39679,7.14623,3.300093
600,2.111027,7.118973,7.14181,3.29992
600,2.10977,7.12036,7.133143,3.301177
600,2.111287,10.826357,7.123133,3.303647
600,2.109727,7.119407,7.119147,3.304427
600,2.11133,7.12777,7.117023,3.30252
700,2.20428,7.177114,7.12504,3.470963
700,2.101914,9.352943,7.109997,3.277151
700,2.1021,9.3496,7.109886,3.273883
700,2.101283,9.355431,7.108994,3.270726
700,2.100911,9.353017,7.110109,3.271283
700,2.100577,9.352051,7.108623,3.270986
700,2.101097,9.351903,10.429714,3.270614
700,2.10106,9.351717,7.11334,3.27054
700,2.328894,9.352571,7.109923,3.271283
700,1.611629,9.35142,7.107731,3.271951
800,2.156017,7.363135,7.344513,3.437785
800,2.094917,7.334698,7.33317,3.237455
800,2.093228,7.331578,7.332098,4.721697
800,2.095763,7.336128,7.44276,3.26027
800,2.094105,8.265432,7.333268,3.262545
800,2.093195,7.337232,7.332585,3.6335
800,2.094105,7.33343,7.332682,4.04209
800,2.09326,7.33135,7.335965,3.721575
800,2.09326,7.33876,7.322185,3.488485
800,2.093033,7.332715,7.326313,3.513412
900,2.150547,7.54754,7.311518,3.594124
900,2.08442,7.309409,7.306,3.374222
900,2.083987,7.307416,7.303631,3.367173
900,2.0839,7.307184,7.305393,3.353624
900,2.084536,7.307242,7.302938,3.355993
900,2.084073,7.304064,7.30366,3.359344
900,2.084536,7.305278,8.943278,3.358564
900,2.084651,7.304989,7.305711,3.359662
900,2.084189,7.304007,7.305104,3.358882
900,2.082947,7.304931,7.3047,3.358449
1000,2.136836,7.320014,7.278804,3.583398
1000,2.078934,8.961082,7.271368,3.328442
1000,2.079246,7.292194,7.270432,3.3293
1000,2.077972,7.284446,7.270016,3.32345
1000,2.078076,7.286968,7.357272,3.323242
1000,2.076958,7.286162,7.270068,3.324412
1000,2.077816,7.286214,7.2683,3.323268
1000,2.076958,7.286474,7.268066,3.323372
1000,2.078206,7.284602,7.267546,3.323294
1000,2.076906,7.285928,7.267962,3.323372
1100,2.131315,7.316471,7.334056,3.70266
1100,2.075864,7.297184,9.216409,3.414698
1100,2.075178,7.290305,7.837322,3.41796
1100,2.07506,7.914755,8.018353,3.4177
1100,2.074209,7.891993,7.833682,3.420253
1100,2.076596,7.631189,7.545862,3.413776
1100,2.078038,7.601407,7.491285,3.590387
1100,2.080756,7.455855,7.358095,3.412949
1100,2.115738,7.972805,7.289904,3.412145
1100,1.590184,7.770478,7.289336,3.413516
1200,2.116443,7.294842,7.282015,9.680298
1200,2.07194,7.273218,7.281842,9.67798
1200,2.07285,7.271788,7.275905,9.607455
1200,2.071225,7.272893,7.274713,9.5316
1200,2.07246,7.271897,7.27584,9.543603
1200,2.070683,7.274215,7.274497,9.542715
1200,2.072438,7.497078,7.275818,9.60661
1200,2.070467,9.250497,8.225967,9.53914
1200,2.072438,9.252382,7.276533,9.559572
1200,2.070423,7.27207,7.275017,9.530235
1300,2.10314,7.2723,7.8269,3.73882
1300,2.06806,7.26256,7.32312,3.36686
1300,2.0677,7.40532,8.43628,3.36408
1300,2.06686,7.25304,7.88934,3.3651
1300,2.06794,7.26342,7.29038,3.36484
1300,2.0663,7.2579,7.4907,3.49782
1300,2.06702,7.25742,7.99934,3.36392
1300,2.067,7.32272,7.75278,3.36404
1300,2.0665,7.99732,7.5655,3.36354
1300,2.06706,7.55954,7.50874,3.36376
1400,2.098126,7.260017,7.225419,3.833329
1400,1.567039,7.239867,7.220219,3.500696
1400,1.566927,9.227567,7.223784,3.509777
1400,1.566649,7.23905,7.286927,3.582076
1400,1.565683,7.334953,9.210463,3.504837
1400,1.56637,9.22818,9.20998,3.499674
1400,1.566147,9.226954,9.203944,3.479004
1400,1.565757,9.228161,9.209961,3.470981
1400,1.566537,7.238809,9.21024,3.471613
1400,1.565571,7.238976,9.210017,3.471204
1500,2.092463,7.244432,7.678233,4.917328
1500,2.062545,7.217045,7.724617,3.378059
1500,2.061401,7.317076,7.489699,3.532603
1500,2.061609,7.260881,7.339419,3.608003
1500,2.061349,7.209089,7.722797,3.561376
1500,2.061731,7.645941,7.560055,3.545585
1500,2.061765,7.209783,7.678337,3.586579
1500,2.062043,7.208413,7.765645,3.587203
1500,2.061939,7.395873,7.611656,3.426869
1500,2.062389,7.7363,7.344411,3.552969
1600,2.090173,7.2228,7.219387,3.968331
1600,2.060825,7.199124,7.214366,3.613139
1600,2.060013,7.1994,7.216056,3.554931
1600,2.060078,7.198604,7.213798,3.54458
1600,2.059704,7.198717,7.215471,3.551389
1600,2.060142,9.190529,7.214123,3.55056
1600,2.059606,7.198815,7.215585,3.55914
1600,2.059623,7.198685,7.254618,3.556897
1600,2.059606,8.637574,7.199075,3.559351
