SIZE,toupper_rawloop,toupper_rawloop_algo,toupper_transform,toupper_branch,toupper_lookup
100,3.72283,10.912171,10.846416,3.010056,2.855882
100,2.831942,10.799494,10.805878,2.626378,2.826516
100,2.419217,10.785768,10.796621,2.606587,2.818536
100,2.353462,10.78513,10.802686,2.603076,2.819494
100,2.341013,10.80492,10.790556,2.611375,2.814067
100,2.33399,10.79279,10.792152,2.611056,2.821728
100,2.34229,10.781618,10.789918,2.607545,2.815663
100,2.337821,10.792471,10.789918,2.600842,2.814067
100,2.333352,10.793429,10.804282,2.611375,2.814067
100,2.33016,10.792152,10.801728,2.615206,2.825558
200,2.935204,10.636063,10.586428,2.893548,2.588552
200,2.59749,10.568872,10.564722,2.588552,2.578817
200,2.588074,10.572064,10.563445,2.558388,2.580094
200,2.590946,10.587066,10.562966,2.555515,2.5777
200,2.586637,10.593131,10.56536,2.56142,2.575625
200,2.591266,10.561849,10.563286,2.56142,2.57754
200,2.588074,10.561211,10.563445,2.562059,2.574188
200,2.60164,10.561051,10.562807,2.56573,2.572592
200,2.598607,10.560892,10.563126,2.557111,2.573071
200,2.601161,10.566478,10.563126,2.555675,2.579455
300,2.763846,10.534132,9.190619,2.419323,2.197586
300,2.51221,10.485188,9.17551,2.23557,2.186839
300,2.503273,10.541899,9.176255,2.226952,2.184179
300,2.504018,10.495615,9.179554,2.226739,2.213546
300,2.511146,10.493274,9.180086,2.257702,2.186839
300,2.500719,10.493487,14.034798,2.222802,2.200671
300,2.508061,11.184555,9.182639,2.261,2.18801
300,2.509657,9.179979,9.182107,2.25717,2.186094
300,2.50987,9.182001,9.179128,2.259298,2.184924
300,2.508274,9.175936,9.180298,2.260681,2.187584
400,2.662447,10.462817,9.142766,2.391287,2.448344
400,1.98287,10.440154,9.132152,2.221393,2.440045
400,1.89541,10.434808,9.129439,2.184445,2.440763
400,1.902193,10.434568,9.131753,2.184126,2.44188
400,1.902831,10.434808,9.135025,2.219158,2.44571
400,1.902432,10.010112,9.135344,2.218041,2.440284
400,1.900836,9.137579,9.131993,2.183807,2.44571
400,1.902113,9.568419,9.12896,2.217881,2.44595
400,1.897564,9.129519,9.146676,2.218759,2.44579
400,1.896766,9.13702,9.134945,2.184605,2.445551
500,2.051818,10.436372,9.125162,2.51204,2.120382
500,1.869235,10.414475,9.114564,2.265043,2.113934
500,1.864,10.413708,9.11565,2.262681,2.1177
500,1.86432,10.411538,9.113224,2.262426,2.115147
500,1.864958,9.824848,9.115522,2.543066,2.11802
500,1.865532,9.111309,9.112713,2.259298,2.13481
500,1.869363,9.108691,9.115267,2.256425,2.113934
500,1.869171,9.110862,9.112777,2.258148,2.114062
500,1.868788,9.10901,9.111819,2.257702,2.117956
500,1.86815,9.110926,9.10933,2.250232,2.117637
600,2.510402,10.58414,10.583661,2.908338,2.408204
600,2.414429,10.566424,10.576905,2.6467,2.400012
600,2.408896,10.568499,10.572383,2.643508,2.403204
600,2.409534,10.220731,10.19727,2.642231,2.399746
600,2.407779,9.25531,9.256694,2.643082,2.400703
600,2.409481,9.253874,9.263184,2.641433,2.398735
600,2.404534,9.254885,9.25531,2.639678,2.400544
600,2.409109,12.328408,9.260843,2.640529,2.402565
600,2.40581,9.254353,9.257545,2.64005,2.399799
600,2.407832,9.258556,9.259939,2.64138,2.413312
700,2.492906,10.550335,9.233088,2.504899,2.102798
700,2.400931,10.534102,9.389678,2.30695,2.095639
700,2.396098,10.81021,9.226476,2.295504,2.094545
700,2.394502,9.223922,9.224333,2.294546,2.091809
700,2.394091,9.223375,9.227707,2.29327,2.095411
700,2.3997,9.226932,9.223877,2.296325,2.09117
700,2.399563,9.224105,9.222691,2.295139,2.093177
700,2.394137,9.222646,9.22488,2.295504,2.09491
700,2.401114,9.223603,9.228118,2.296462,2.096506
700,2.39742,9.226202,9.223375,2.295413,2.091626
800,2.453012,10.524423,9.211234,2.598448,2.087568
800,2.387177,10.517999,9.204611,2.302509,2.083778
800,2.386658,10.268624,10.749339,2.301911,2.084536
800,2.388813,9.208122,9.20908,2.30239,2.084296
800,2.385781,9.207244,9.209319,2.302749,2.083738
800,2.388733,9.210995,9.208162,2.300474,2.081783
800,2.385501,9.208202,9.211833,2.299437,2.083778
800,2.385661,9.207563,9.209997,2.300275,2.084336
800,2.387616,9.207324,9.210317,2.302549,2.08278
800,2.385621,9.207524,9.210396,2.300913,2.083738
900,1.904028,10.505333,9.198245,2.891739,2.079588
900,1.816709,10.492033,10.425356,2.558423,2.074197
900,1.814758,9.843915,9.194627,2.557679,2.074162
900,1.81185,9.188243,9.192534,2.557005,2.07363
900,1.813588,9.18725,9.194769,2.555693,2.074481
900,1.811283,9.18576,9.192925,2.559665,2.075935
900,1.815255,9.186399,9.192286,2.556615,2.075155
900,1.815539,9.187356,9.192428,2.557891,2.075261
900,1.812098,9.185547,9.192499,2.557218,2.075687
900,1.814226,9.186328,9.192322,2.627335,2.074303
1000,2.446636,10.49271,10.497594,3.249935,2.075438
1000,2.371241,10.482049,10.48904,2.66915,2.070714
1000,2.369134,9.511202,9.507627,2.668033,2.068927
1000,2.368751,9.177383,9.183576,2.66133,2.068735
1000,2.368209,10.746251,9.181054,2.664586,2.068799
1000,2.36923,10.510681,9.182331,2.658776,2.068799
1000,2.368911,10.714171,9.183033,2.662,2.069214
1000,2.37073,10.510681,9.181501,2.907944,2.068895
1000,2.369134,10.515469,10.238053,2.328021,2.070395
1000,2.632187,10.512469,9.182873,2.326362,2.069597
1100,2.40761,10.486939,9.179089,2.65824,2.363705
1100,2.366723,10.55252,9.518283,2.388806,2.360513
1100,2.365156,9.176623,9.175868,2.359294,2.36002
1100,2.363879,9.17375,9.176217,2.370321,2.43982
1100,2.364053,9.1761,9.173489,2.362631,2.361964
1100,2.364314,9.174272,9.176246,2.363154,2.361151
1100,2.363473,9.175259,9.173518,2.443244,2.360368
1100,2.364953,9.17465,9.175752,2.445797,2.360339
1100,2.190118,9.174504,9.173663,2.447916,2.36031
1100,1.573946,9.175346,9.175607,2.447597,2.359846
1200,1.86341,10.466275,9.161279,2.700139,2.065703
1200,1.8009,10.307979,9.158832,2.405544,2.063468
1200,1.79957,9.15588,9.159284,2.402805,2.06283
1200,1.801113,9.156252,9.159444,2.402805,2.062218
1200,1.800075,10.052353,9.159497,2.399958,2.061686
1200,1.799862,9.155747,9.490242,2.406901,2.062644
1200,1.799357,9.155294,9.162742,2.401714,2.06158
1200,1.800926,9.155161,9.160588,2.400038,2.062591
1200,1.800182,9.155667,9.161971,2.399267,2.061793
1200,2.017982,9.156225,9.159311,2.396793,2.062644
1300,2.403527,10.455003,10.46728,2.677646,2.354149
1300,2.356825,10.11589,10.105823,2.408659,2.351546
1300,2.359576,9.146357,9.142379,2.350147,2.351767
1300,2.355573,9.146234,9.143263,2.345874,2.351129
1300,2.35658,9.144908,9.141888,2.34968,2.351473
1300,2.354247,9.146283,9.142477,2.345703,2.351301
1300,2.354075,9.997688,9.441519,2.345555,2.562268
1300,2.355426,9.146897,9.129783,2.336642,2.057269
1300,2.355573,9.146971,9.128629,2.350294,2.057882
1300,2.354051,9.146234,9.130642,2.346071,2.05717
1400,1.861004,10.437452,9.147611,2.971638,2.358158
1400,1.803115,9.951653,9.143051,2.6233,2.354237
1400,1.801952,9.140566,9.143074,2.625352,2.353826
1400,1.802044,9.139312,9.142367,2.621818,2.35353
1400,1.801565,9.140816,9.412912,2.621384,2.353553
1400,1.802568,9.970691,9.145217,2.721773,2.354191
1400,1.80218,9.141204,9.144373,2.308044,2.417096
1400,1.800448,9.140702,9.121733,2.308523,2.353735
1400,1.80177,9.141113,9.120866,2.306288,2.353576
1400,1.877101,9.138445,9.121482,2.307109,2.353302
1500,2.385403,10.443926,10.450672,2.741907,2.058372
1500,2.349993,9.801355,9.857598,2.404129,2.057968
1500,2.349482,9.885262,9.187385,3.010418,2.057797
1500,2.349227,9.136376,9.144484,2.350163,2.05784
1500,2.351674,9.135738,9.144016,2.352078,2.057712
1500,2.351717,9.137589,9.146144,2.349206,2.057776
1500,1.788563,9.136057,9.144356,2.350036,2.057648
1500,1.563888,9.136908,9.144995,2.349206,2.057776
1500,1.559484,9.13776,9.144335,2.350887,2.05818
1500,1.560079,8.142984,9.145059,2.351142,2.057712
1600,2.392803,10.436344,9.114537,3.187531,2.348594
1600,2.349891,9.668488,9.109828,2.850875,2.348414
1600,2.348454,9.125868,9.10937,2.845788,2.348993
1600,2.348055,9.125369,9.109768,2.846007,2.349132
1600,2.347197,9.12511,9.111325,2.873877,2.349132
1600,2.27831,9.124631,9.110806,2.489022,2.426997
1600,1.557157,9.12503,9.307054,2.48974,2.051997
1600,1.557556,9.126167,9.109768,2.48988,2.052456
1600,1.556938,9.20499,9.109489,2.490319,2.102132
1600,1.557816,9.12519,9.109709,2.489999,2.05499
1700,2.396685,10.425429,10.503107,3.270073,2.348016
1700,2.347209,9.55467,10.324186,2.809016,2.345162
1700,2.34582,9.2344,9.119431,2.849911,2.344993
1700,2.347153,9.120821,9.1196,2.755766,2.345125
1700,2.348448,9.120464,9.120182,2.716392,2.345181
1700,1.998812,9.119056,9.121065,2.446386,2.318988
1700,1.55687,9.119075,9.119619,2.442331,2.05178
1700,1.557133,9.120314,9.119431,2.442612,2.05208
1700,1.557114,9.121121,9.182558,2.446386,2.052212
1700,1.556757,9.120502,9.119938,2.442368,2.052212
1800,2.386038,10.428033,11.14274,2.951235,2.343265
1800,1.805502,10.424327,10.466355,2.419359,2.341119
